epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4624.28,0.65799,0.51316,0.96711,0.96861,1,0.995,0.8054,0.78935,0.46536,0.9589,0.000698066,0.000698066,0.000698066
64,4697.7,0.71272,0.55727,1.06242,0.76636,0.98995,0.995,0.80698,0.81423,0.79975,0.96564,0.000686277,0.000686277,0.000686277
65,4770.47,0.66932,0.49502,0.97338,0.76636,0.98995,0.995,0.80698,0.81423,0.79975,0.96564,0.000674488,0.000674488,0.000674488
66,4841.02,0.67718,0.52677,1.03723,0.78616,1,0.995,0.79152,0.7866,0.6429,0.94186,0.000662699,0.000662699,0.000662699
67,4913.12,0.64913,0.48058,0.99268,0.95687,1,0.995,0.82593,0.78293,0.50687,0.94053,0.000650909,0.000650909,0.000650909
68,4984.09,0.73997,0.63238,1.16447,0.95687,1,0.995,0.82593,0.78293,0.50687,0.94053,0.00063912,0.00063912,0.00063912
69,5053.54,0.73609,0.57883,1.089,0.98308,1,0.995,0.82965,0.79614,0.49012,0.9556,0.000627331,0.000627331,0.000627331
70,5123.55,0.73307,0.589,1.01086,0.96894,0.99342,0.995,0.85623,0.75699,0.4898,0.94008,0.000615542,0.000615542,0.000615542
71,5196.86,0.62906,0.51875,0.95334,0.97375,0.99411,0.995,0.86266,0.73044,0.47504,0.92653,0.000603752,0.000603752,0.000603752
72,5282.55,0.64139,0.51768,0.99549,0.97375,0.99411,0.995,0.86266,0.73044,0.47504,0.92653,0.000591963,0.000591963,0.000591963
73,5366.42,0.69238,0.49343,1.03275,0.98617,1,0.995,0.82078,0.78837,0.45502,0.94963,0.000580174,0.000580174,0.000580174
74,5430.94,0.6016,0.49333,0.9412,0.98672,1,0.995,0.80471,0.79187,0.4405,0.95187,0.000568385,0.000568385,0.000568385
75,5501.67,0.65905,0.5,1.03143,0.98672,1,0.995,0.80471,0.79187,0.4405,0.95187,0.000556595,0.000556595,0.000556595
76,5570.96,0.66279,0.46229,0.94718,0.9895,1,0.995,0.79946,0.8143,0.43828,0.96643,0.000544806,0.000544806,0.000544806
77,5642.64,0.64754,0.49586,1.01483,0.97888,1,0.995,0.80454,0.83542,0.45834,0.97831,0.000533017,0.000533017,0.000533017
78,5707.59,0.65982,0.50139,0.96242,0.97888,1,0.995,0.80454,0.83542,0.45834,0.97831,0.000521228,0.000521228,0.000521228
79,5775.64,0.67568,0.46417,0.98498,0.99107,1,0.995,0.83192,0.78055,0.47468,0.95444,0.000509438,0.000509438,0.000509438
80,5854.85,0.64768,0.47844,0.99809,0.8232,0.9784,0.98833,0.81886,0.7626,0.59172,0.94317,0.000497649,0.000497649,0.000497649
