epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2565.81,0.67065,0.74019,0.86478,0.98303,1,0.995,0.76355,0.89663,0.76509,0.96352,0.000698066,0.000698066,0.000698066
64,2606.81,0.74502,0.8557,0.92782,0.98609,1,0.995,0.77571,0.89492,0.7264,0.96537,0.000686277,0.000686277,0.000686277
65,2646.92,0.69593,0.81002,0.86992,0.98609,1,0.995,0.77571,0.89492,0.7264,0.96537,0.000674488,0.000674488,0.000674488
66,2692.81,0.68712,0.88452,0.89163,0.98401,1,0.995,0.80344,0.82261,0.70331,0.94996,0.000662699,0.000662699,0.000662699
67,2733.73,0.68913,0.82784,0.87345,0.98597,1,0.995,0.82427,0.78582,0.70513,0.93945,0.000650909,0.000650909,0.000650909
68,2773.72,0.74011,1.00431,0.92526,0.98597,1,0.995,0.82427,0.78582,0.70513,0.93945,0.00063912,0.00063912,0.00063912
69,2814.1,0.70849,0.90462,0.91668,0.98901,1,0.995,0.79829,0.79704,0.68789,0.94139,0.000627331,0.000627331,0.000627331
70,2852.68,0.69894,0.91863,0.89512,0.99227,1,0.995,0.76848,0.86482,0.66102,0.94664,0.000615542,0.000615542,0.000615542
71,2894.12,0.63254,1.20272,0.83411,0.9938,1,0.995,0.74006,0.89869,0.63998,0.95362,0.000603752,0.000603752,0.000603752
72,2937.02,0.64263,0.82657,0.87869,0.9938,1,0.995,0.74006,0.89869,0.63998,0.95362,0.000591963,0.000591963,0.000591963
73,2977.47,0.70966,0.73981,0.8764,0.99301,1,0.995,0.74695,0.92479,0.62879,0.96028,0.000580174,0.000580174,0.000580174
