epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,918.751,0.58859,0.67088,0.86376,0.99206,1,0.995,0.9146,0.45858,0.6574,0.82151,0.000466997,0.000466997,0.000466997
70,931.633,0.64145,0.70775,0.90507,0.99206,1,0.995,0.9146,0.45858,0.6574,0.82151,0.00045285,0.00045285,0.00045285
71,944.85,0.57665,0.69179,0.87234,0.99432,1,0.995,0.91932,0.4407,0.63709,0.82004,0.000438703,0.000438703,0.000438703
72,956.882,0.57414,0.67076,0.8465,0.99432,1,0.995,0.91932,0.4407,0.63709,0.82004,0.000424556,0.000424556,0.000424556
73,969.583,0.59128,0.75364,0.87591,0.99184,1,0.995,0.92071,0.43965,0.64449,0.81732,0.000410409,0.000410409,0.000410409
74,983.1,0.61162,0.6656,0.84724,0.99184,1,0.995,0.92071,0.43965,0.64449,0.81732,0.000396262,0.000396262,0.000396262
75,996.064,0.59669,0.69359,0.86729,0.99184,1,0.995,0.92071,0.43965,0.64449,0.81732,0.000382115,0.000382115,0.000382115
76,1008.79,0.58879,0.67421,0.86873,0.98741,1,0.995,0.91686,0.44563,0.62923,0.813,0.000367967,0.000367967,0.000367967
77,1023.56,0.57531,0.6351,0.83274,0.98741,1,0.995,0.91686,0.44563,0.62923,0.813,0.00035382,0.00035382,0.00035382
78,1036.46,0.58104,0.6688,0.85823,0.98741,1,0.995,0.91686,0.44563,0.62923,0.813,0.000339673,0.000339673,0.000339673
79,1050.57,0.53823,0.73791,0.91388,0.9866,1,0.995,0.92117,0.44604,0.6213,0.80972,0.000325526,0.000325526,0.000325526
80,1063.38,0.56111,0.66083,0.81981,0.9866,1,0.995,0.92117,0.44604,0.6213,0.80972,0.000311379,0.000311379,0.000311379
81,1078.3,0.57887,0.70263,0.8825,0.98626,1,0.995,0.90118,0.45902,0.61814,0.80846,0.000297232,0.000297232,0.000297232
82,1090.24,0.58423,0.67056,0.87875,0.98626,1,0.995,0.90118,0.45902,0.61814,0.80846,0.000283085,0.000283085,0.000283085
83,1102.12,0.53603,0.59546,0.825,0.98626,1,0.995,0.90118,0.45902,0.61814,0.80846,0.000268938,0.000268938,0.000268938
84,1115.31,0.53512,0.62028,0.85065,0.98537,1,0.995,0.89803,0.45439,0.61178,0.80804,0.000254791,0.000254791,0.000254791
85,1126.68,0.59276,0.67582,0.85166,0.98537,1,0.995,0.89803,0.45439,0.61178,0.80804,0.000240644,0.000240644,0.000240644
86,1138.61,0.58667,0.63713,0.87028,0.98537,1,0.995,0.89803,0.45439,0.61178,0.80804,0.000226497,0.000226497,0.000226497
87,1150.68,0.5233,0.60626,0.83171,0.98455,1,0.995,0.89389,0.44271,0.60751,0.80597,0.000212349,0.000212349,0.000212349
88,1162.94,0.54099,0.63273,0.85365,0.98455,1,0.995,0.89389,0.44271,0.60751,0.80597,0.000198202,0.000198202,0.000198202
89,1177.26,0.59747,0.65342,0.89781,0.98577,1,0.995,0.89834,0.43466,0.58813,0.80627,0.000184055,0.000184055,0.000184055
90,1188.81,0.58387,0.62342,0.84981,0.98577,1,0.995,0.89834,0.43466,0.58813,0.80627,0.000169908,0.000169908,0.000169908
91,1202.18,0.53454,0.76978,0.86048,0.98577,1,0.995,0.89834,0.43466,0.58813,0.80627,0.000155761,0.000155761,0.000155761
92,1214.47,0.54703,0.77971,0.89197,0.98707,1,0.995,0.90664,0.43173,0.5954,0.80758,0.000141614,0.000141614,0.000141614
93,1226.62,0.54871,0.79547,0.87108,0.98707,1,0.995,0.90664,0.43173,0.5954,0.80758,0.000127467,0.000127467,0.000127467
94,1239.41,0.53462,0.77584,0.8313,0.98707,1,0.995,0.90664,0.43173,0.5954,0.80758,0.00011332,0.00011332,0.00011332
95,1251.35,0.52877,0.75861,0.87079,0.98803,1,0.995,0.91771,0.4339,0.60372,0.81302,9.91726e-05,9.91726e-05,9.91726e-05
96,1262.96,0.59943,0.78698,0.87356,0.98803,1,0.995,0.91771,0.4339,0.60372,0.81302,8.50255e-05,8.50255e-05,8.50255e-05
97,1274.93,0.56897,0.76132,0.84179,0.989,1,0.995,0.93072,0.43272,0.61148,0.81418,7.08784e-05,7.08784e-05,7.08784e-05
98,1291.52,0.554,0.79103,0.86306,0.989,1,0.995,0.93072,0.43272,0.61148,0.81418,5.67313e-05,5.67313e-05,5.67313e-05
99,1304.89,0.56721,0.79628,0.82944,0.989,1,0.995,0.93072,0.43272,0.61148,0.81418,4.25842e-05,4.25842e-05,4.25842e-05
100,1316.64,0.52658,0.75714,0.85948,0.99003,1,0.995,0.93044,0.43123,0.60979,0.81447,2.84371e-05,2.84371e-05,2.84371e-05
